Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,94.595039,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,90.895805,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,91.058426,12177900
2000-01-06,139.625,141.5,137.75,137.75,89.594978,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,94.798302,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,95.12352,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,93.985298,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,93.050285,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,94.310501,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,95.590988,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,94.838928,6488500
2000-01-19,145.3125,147.0,145.0,147.0,95.61129,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,94.147919,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,93.944641,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,91.282028,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,92.318604,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,91.586899,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,91.221016,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,88.375443,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,90.773926,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,91.668198,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,91.749481,6205900
2000-02-03,140.875,143.25,140.0,143.1875,93.131607,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,92.745461,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,92.603142,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,93.863289,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,91.891769,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,92.074677,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,90.204758,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,90.7332,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,91.759659,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,90.408012,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,89.940498,7584200
2000-02-18,138.875,138.875,134.625,135.3125,88.00956,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,87.786026,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,88.822586,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,87.033958,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,86.718918,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,88.538048,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,89.391724,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,90.04216,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,90.103134,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,91.790131,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,90.895805,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,89.137665,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,89.025841,11808500
2000-03-09,137.25,140.875,136.125,140.875,91.627533,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,91.139717,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,90.143768,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,88.863281,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,90.936455,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,95.184471,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,95.813553,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,95.324524,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,97.280746,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,97.87162,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,99.542603,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,100.133553,11462900
2000-03-27,153.375,153.78125,151.8125,151.9375,99.073975,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,98.50338,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,98.605247,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,96.954681,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,98.055122,9249100
2000-04-03,150.125,151.25,148.6875,151.25,98.625664,8508200
2000-04-04,151.75,153.0,141.390625,150.125,97.892075,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,97.280746,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,98.126427,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,98.74791,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,98.360725,9624200
2000-04-11,150.0,151.625,148.375,150.40625,98.075394,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,95.385666,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,94.061096,12225800
2000-04-14,142.625,142.8125,133.5,136.0,88.681564,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,91.778931,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,94.203796,11069200
2000-04-19,144.5,145.125,142.53125,143.125,93.327576,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,93.775879,8537600
2000-04-24,141.5,143.3125,140.5,142.25,92.757011,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,96.608261,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,95.518135,7711100
2000-04-27,143.0,147.34375,143.0,146.0,95.202286,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,94.611351,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,95.895111,7328300
2000-05-02,145.5,147.125,144.125,144.125,93.979622,9411900
2000-05-03,144.0,144.0,139.78125,140.75,91.778931,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,92.471741,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,93.592499,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,92.889473,5064100
2000-05-09,143.0625,143.40625,140.265625,141.3125,92.145691,5620300
2000-05-10,140.5,140.96875,137.75,138.125,90.067238,10293900
2000-05-11,140.125,141.5,139.125,141.28125,92.125298,7091100
2000-05-12,141.8125,143.46875,141.625,142.8125,93.123833,5960800
2000-05-15,142.75,145.609375,142.0,145.28125,94.733582,4441300
2000-05-16,146.5625,147.71875,145.3125,146.6875,95.650536,8192200
2000-05-17,145.6875,146.1875,144.46875,145.15625,94.652092,5907200
2000-05-18,145.625,146.3125,143.375,143.375,93.490555,4325600
2000-05-19,142.5625,143.234375,140.40625,141.125,92.023438,6518400
2000-05-22,141.25,141.46875,137.0,140.0625,91.330582,10839400
2000-05-23,140.4375,140.8125,137.5625,138.0,89.985725,7979200
2000-05-24,138.0,140.6875,136.5,140.25,91.452873,11081500
2000-05-25,140.6875,141.8125,137.71875,137.84375,89.883835,8278900
2000-05-26,138.8125,139.6875,137.328125,138.0,89.985725,4814000
2000-05-30,140.0,142.9375,139.46875,142.5,92.920036,5362700
2000-05-31,142.5625,144.0,142.09375,142.8125,93.123833,6056500
2000-06-01,143.6875,145.4375,143.0,145.3125,94.75396,8961600
2000-06-02,148.9375,149.09375,147.484375,147.84375,96.404518,8962200
2000-06-05,147.46875,148.21875,146.875,147.125,95.935829,6998100
2000-06-06,146.625,147.78125,145.90625,146.46875,95.507904,4858900
2000-06-07,146.625,148.0,146.0,147.484375,96.170166,4919500
2000-06-08,147.5,147.75,146.0625,146.90625,95.793228,5723100
2000-06-09,147.5,147.96875,145.625,146.59375,95.589439,3085300
2000-06-12,146.96875,146.96875,144.875,144.875,94.468697,3678900
2000-06-13,144.8125,147.75,144.625,147.59375,96.241547,6558700
2000-06-14,148.25,148.875,147.1875,147.84375,96.404518,6420500
2000-06-15,148.125,148.75,146.84375,148.15625,96.608261,5881200
2000-06-16,148.3125,148.3125,145.875,146.59375,95.814537,5567900
2000-06-19,146.46875,149.15625,146.25,148.46875,97.040054,5106900
2000-06-20,148.1875,148.875,147.0,147.9375,96.692757,6480000
2000-06-21,146.9375,148.4375,146.890625,147.875,96.651932,3115000
2000-06-22,147.5625,147.6875,145.0,145.625,95.181274,7490500
2000-06-23,145.8125,146.125,143.875,144.375,94.364296,4863300
2000-06-26,145.375,146.25,144.875,146.234375,95.579597,5201300
2000-06-27,145.984375,146.71875,145.015625,145.15625,94.874954,4159500
2000-06-28,145.625,146.984375,145.3125,145.5625,95.140495,5347700
2000-06-29,144.75,145.75,143.515625,144.1875,94.241806,6345700
2000-06-30,143.9375,145.59375,143.890625,145.28125,94.956627,7420200
2000-07-03,145.4375,147.4375,145.1875,147.28125,96.263809,1436600
2000-07-05,146.375,146.65625,144.375,144.625,94.527649,2748200
2000-07-06,144.9375,146.46875,144.21875,145.75,95.263062,5963200
2000-07-07,146.6875,148.78125,146.25,148.09375,96.79496,3034800
2000-07-10,147.875,148.90625,147.53125,147.84375,96.631554,2816100
2000-07-11,147.46875,149.125,147.15625,148.15625,96.835732,5431600
2000-07-12,149.28125,150.125,148.6875,149.125,97.468941,5883000
2000-07-13,149.984375,150.375,149.1875,149.78125,97.89785,5356000
2000-07-14,150.4375,151.25,149.671875,151.25,98.857841,5341900
2000-07-17,150.984375,151.984375,150.6875,151.0,98.694466,4208300
2000-07-18,150.625,150.625,149.34375,149.765625,97.887627,4262100
2000-07-19,149.46875,149.90625,148.25,148.5625,97.10128,8506800
2000-07-20,149.0,150.625,148.8125,150.625,98.449356,4538900
2000-07-21,149.75,149.75,147.6875,147.6875,96.529373,5656900
2000-07-24,148.125,148.859375,146.5625,146.84375,95.977913,5628500
2000-07-25,147.75,147.84375,146.78125,147.3125,96.284309,4757100
2000-07-26,146.96875,147.15625,145.640625,145.875,95.344727,12062500
2000-07-27,145.9375,146.625,144.6875,145.375,95.017921,7652600
2000-07-28,145.71875,145.90625,141.515625,142.09375,92.873283,6229500
2000-07-31,142.9375,144.125,142.0625,143.0,93.465584,5265500
2000-08-01,143.625,144.71875,143.125,143.875,94.037506,3946600
2000-08-02,143.875,145.40625,143.625,144.59375,94.507309,7439800
